,Median Label 0,Median Label 1,P-value
normIN,0.0,0.0,5.6430980078967e-05
IP,0.0,0.0,1.4633653500690909e-08
normIP,0.0,0.0,1.5853948486715763e-08
IQ,0.0,0.0,2.7017991891501256e-06
normIQ,0.0,0.0,3.6967659223206885e-06
IR,0.0,0.0,7.808304100173862e-06
normIR,0.0,0.0,1.6461583254215745e-05
IT,0.0,0.0,6.252111805015533e-06
normIT,0.0,0.0,5.883592119411896e-06
IW,0.0,0.0,6.150314013794226e-32
normIW,0.0,0.0,6.665156389609735e-32
KA,0.0,0.0,0.0008094207486507621
normKA,0.0,0.0,0.0007042205329679231
KG,0.0,0.0,0.006083870188198881
normKG,0.0,0.0,0.002876836211121977
KM,0.0,0.0,2.985104538406386e-07
normKM,0.0,0.0,4.426310251609504e-07
KN,0.0,0.0,0.00247986638315678
normKN,0.0,0.0,0.0026008360147443607
KQ,0.0,0.0,0.04346636598219371
normKQ,0.0,0.0,0.03820958152370214
KR,0.0,0.0,6.503486949888598e-05
normKR,0.0,0.0,0.00013370444415199552
KS,0.0,0.0,9.772490162564798e-05
normKS,0.0,0.0,0.00010467853383840476
KV,0.0,0.0,1.0453219411591162e-21
normKV,0.0,0.0,3.5078214641560986e-21
KW,0.0,0.0,4.014757734125074e-23
normKW,0.0,0.0,8.897503779442734e-24
KY,0.0,0.0,8.680585842446231e-07
normKY,0.0,0.0,6.41365291116279e-07
LA,0.0,0.0,1.28676099870361e-07
normLA,0.0,0.0,7.894836686561212e-08
LC,0.0,0.0,9.550811793264128e-12
normLC,0.0,0.0,3.3269897664375813e-11
LD,0.0,0.0,0.0015508864639611623
normLD,0.0,0.0,0.0018546157918658834
LE,0.0,0.0,0.0030391005466631317
normLE,0.0,0.0,0.003183791751558037
LF,0.0,0.0,4.947615365139667e-08
normLF,0.0,0.0,1.5099957139838717e-07
LG,0.0,0.0,0.02992861888869815
LH,0.0,0.0,3.6175739717788685e-11
normLH,0.0,0.0,1.4779883283585014e-09
LI,0.0,0.0,0.00030350393602373877
normLI,0.0,0.0,0.00028780028161185325
LK,0.0,0.0,6.096334159737127e-07
normLK,0.0,0.0,7.866314389219582e-07
LM,0.0,0.0,2.5563951553668338e-08
normLM,0.0,0.0,2.9559520583702375e-08
LN,0.0,0.0,1.4567958723886918e-06
normLN,0.0,0.0,1.6438043179505337e-06
LP,0.0,0.0,1.0586973971393469e-07
normLP,0.0,0.0,2.985052347723297e-07
LQ,0.0,0.0,1.5186326515662596e-05
normLQ,0.0,0.0,1.2293938725401813e-05
LR,0.0,0.0,1.1725906258488105e-19
normLR,0.0,0.0,5.552072725963172e-19
LT,0.0,0.0,2.2076975321866725e-10
normLT,0.0,0.0,2.3466537805480866e-10
LV,0.0,0.0,2.440309252647838e-06
normLV,0.0,0.0,2.9626812982840493e-06
LW,0.0,0.0,2.1433186073705945e-20
normLW,0.0,0.0,1.771123168626838e-20
LY,0.0,0.0,3.0778407356476344e-08
normLY,0.0,0.0,3.0779604570149796e-08
MA,0.0,0.0,6.134701795588547e-11
normMA,0.0,0.0,6.441672562083621e-11
MC,0.0,0.0,0.002448318503728481
normMC,0.0,0.0,0.0023476806679306873
MD,0.0,0.0,0.016891757204317584
normMD,0.0,0.0,0.01736224284954598
MF,0.0,0.0,0.0002581639610663056
normMF,0.0,0.0,0.0002758305283466116
MG,0.0,0.0,7.662152982041244e-16
normMG,0.0,0.0,9.383566249307557e-16
MH,0.0,0.0,6.761965492513679e-07
normMH,0.0,0.0,9.5451870071037e-07
ML,0.0,0.0,0.0475799403338913
normML,0.0,0.0,0.047392952708010624
MM,0.0,0.0,2.432735464840032e-09
normMM,0.0,0.0,2.49571601089423e-09
MN,0.0,0.0,6.910859807479789e-07
normMN,0.0,0.0,6.545109639677272e-07
MP,0.0,0.0,0.020044433701474865
normMP,0.0,0.0,0.019198608988436474
MQ,0.0,0.0,0.0001848698144862159
normMQ,0.0,0.0,0.00017960113597125128
MR,0.0,0.0,9.228378907844863e-08
normMR,0.0,0.0,1.0851650043638459e-07
MT,0.0,0.0,0.03534469914956212
normMT,0.0,0.0,0.035265417753745094
MV,0.0,0.0,0.003033508785121844
normMV,0.0,0.0,0.004866636085328475
MW,0.0,0.0,3.801285941051078e-26
normMW,0.0,0.0,3.431145657376213e-26
NC,0.0,0.0,2.2674452398093064e-05
normNC,0.0,0.0,2.140794372682139e-05
ND,0.0,0.0,0.0010644390105175319
normND,0.0,0.0,0.0017732220726880956
NF,0.0,0.0,9.68531768700907e-10
normNF,0.0,0.0,1.033288013477419e-09
NL,0.0,0.0,0.0014684869429505414
normNL,0.0,0.0,0.0011538575707315578
NM,0.0,0.0,0.002911406783098564
normNM,0.0,0.0,0.0028412032482357462
NN,0.0,0.0,0.005272424416968856
normNN,0.0,0.0,0.005092366075424156
NS,0.0,0.0,0.0236587538174398
normNS,0.0,0.0,0.02203230689385261
NT,0.0,0.0,0.0062945785062792645
normNT,0.0,0.0,0.006806215625368914
NW,0.0,0.0,6.960553889889554e-73
normNW,0.0,0.0,1.775035637639971e-72
PD,0.0,0.0,0.00024286468021157584
normPD,0.0,0.0,0.0005481799704546232
PH,0.0,0.0,9.110330397017917e-08
normPH,0.0,0.0,2.0303714052987266e-07
PL,0.0,0.0,9.7861064179375e-10
normPL,0.0,0.0,7.469494426626347e-10
PN,0.0,0.0,4.6551531365109955e-05
normPN,0.0,0.0,3.587202105293007e-05
PR,0.0,0.0,0.00357556107289951
normPR,0.0,0.0,0.002898787273250214
PS,0.0,0.0,0.0037536930930269306
normPS,0.0,0.0,0.0035891816085524236
PV,0.0,0.0,1.4882107921235233e-05
normPV,0.0,0.0,1.3953842226927926e-05
PW,0.0,0.0,2.486776461616078e-15
normPW,0.0,0.0,1.5783276896185581e-15
PY,0.0,0.0,0.0003165012319877329
normPY,0.0,0.0,0.00026976525369857673
QD,0.0,0.0,2.5060974610829717e-05
normQD,0.0,0.0,3.0065851456912e-05
QF,0.0,0.0,0.0007339446866689169
normQF,0.0,0.0,0.0007382123447183098
QG,0.0,0.0,0.0005856125148743901
normQG,0.0,0.0,0.0006300014761545132
QH,0.0,0.0,4.3731572051932765e-18
normQH,0.0,0.0,4.7806776907128775e-18
QI,0.0,0.0,0.01098980027338464
normQI,0.0,0.0,0.010972489546285949
QL,0.0,0.0,0.025734812077666844
normQL,0.0,0.0,0.023583615306091717
QN,0.0,0.0,8.164999500790711e-06
normQN,0.0,0.0,1.157124946577403e-05
QQ,0.0,0.0,0.00015030399405693978
normQQ,0.0,0.0,0.000142331571690243
QR,0.0,0.0,5.110425547380724e-10
normQR,0.0,0.0,5.056295054166205e-10
QT,0.0,0.0,8.427204241823719e-05
normQT,0.0,0.0,7.966080322159073e-05
QV,0.0,0.0,0.00011561758937647751
normQV,0.0,0.0,0.00011738382042179122
QW,0.0,0.0,9.315883225637083e-38
normQW,0.0,0.0,4.3549592796585583e-38
RA,0.0,0.0,1.8074427170390362e-05
normRA,0.0,0.0,1.6325459523609557e-05
RC,0.0,0.0,0.001958765460705161
normRC,0.0,0.0,0.0017219072712743814
RF,0.0,0.0,3.058108316045965e-05
normRF,0.0,0.0,4.2456173726894607e-05
RH,0.0,0.0,7.213596053475627e-06
normRH,0.0,0.0,7.08381541971381e-06
RI,0.0,0.0,0.000122638541965215
normRI,0.0,0.0,0.000125387545930643
RL,0.0,0.0,0.005973191262231639
normRL,0.0,0.0,0.005795346530579002
RM,0.0,0.0,0.021283450245000685
normRM,0.0,0.0,0.024898337663444552
RQ,0.0,0.0,0.0015954337662345177
normRQ,0.0,0.0,0.0014526986051441675
RR,0.0,0.0,9.666552349924245e-13
normRR,0.0,0.0,1.6738570145157024e-12
RS,0.0,0.0,0.00743800745234087
normRS,0.0,0.0,0.0068148822619975066
RV,0.0,0.0,0.00030980488073481657
normRV,0.0,0.0,0.0004155665164372693
RW,0.0,0.0,1.1735542582997919e-49
normRW,0.0,0.0,4.93867817137504e-50
RY,0.0,0.0,2.0445885832691846e-06
normRY,0.0,0.0,6.596758106091657e-06
SC,0.0,0.0,0.00022632387055423618
normSC,0.0,0.0,0.0002343961997408832
SD,0.0,0.0,0.0009540631475882496
normSD,0.0,0.0,0.0036135186099515615
SF,0.0,0.0,1.4210753566431756e-07
normSF,0.0,0.0,2.0055897489357429e-07
SH,0.0,0.0,1.6606005662298986e-09
normSH,0.0,0.0,4.1949335562765075e-09
SI,0.0,0.0,0.047986920120458056
normSI,0.0,0.0,0.04714645520479928
SK,0.0,0.0,0.0348725855583009
normSK,0.0,0.0,0.035255387679183806
SM,0.0,0.0,0.0011495689984857504
normSM,0.0,0.0,0.0009915180504074393
SQ,0.0,0.0,0.020978732304040112
normSQ,0.0,0.0,0.017688702843126753
SR,0.0,0.0,2.919206056908176e-08
normSR,0.0,0.0,3.995286846838286e-08
SS,0.0,0.0,0.017696433428750435
normSS,0.0,0.0,0.017486578098290684
SV,0.0,0.0,7.969021771995415e-07
normSV,0.0,0.0,7.486769611790325e-07
SW,0.0,0.0,3.1954646142160615e-39
normSW,0.0,0.0,7.254629767426739e-39
SY,0.0,0.0,0.029958804946489188
normSY,0.0,0.0,0.02329218373945607
TA,0.0,0.0,0.0004500989914092735
normTA,0.0,0.0,0.00038369674050155455
TC,0.0,0.0,0.00038709270954308885
normTC,0.0,0.0,0.0003203127865480981
TF,0.0,0.0,6.9925265278819355e-06
normTF,0.0,0.0,7.697685815380346e-06
TG,0.0,0.0,0.00012440865974528006
normTG,0.0,0.0,0.0001312145435659894
TH,0.0,0.0,1.1935758799454903e-10
normTH,0.0,0.0,1.1313192553197471e-10
TM,0.0,0.0,8.25697876095926e-06
normTM,0.0,0.0,8.485091703870594e-06
TR,0.0,0.0,7.010875774852213e-09
normTR,0.0,0.0,6.7282937440486606e-09
TV,0.0,0.0,5.6576572416013334e-15
normTV,0.0,0.0,1.6503071603086442e-14
TW,0.0,0.0,4.032619921448011e-34
normTW,0.0,0.0,5.580851620210745e-34
TY,0.0,0.0,0.02130513081909893
normTY,0.0,0.0,0.018392340036069717
VA,0.0,0.0,1.2139353502228377e-09
normVA,0.0,0.0,1.1121607297105163e-09
VC,0.0,0.0,6.431359754249307e-09
normVC,0.0,0.0,8.774476432022508e-09
VD,0.0,0.0,0.0019128330203993817
normVD,0.0,0.0,0.0018442621083477975
VE,0.0,0.0,0.008367277990379033
normVE,0.0,0.0,0.00817695843138439
VF,0.0,0.0,2.7118347981049796e-18
normVF,0.0,0.0,1.3752805805532086e-17
VG,0.0,0.0,3.1766080846528963e-06
normVG,0.0,0.0,3.4621138618416277e-06
VH,0.0,0.0,3.0012341745297767e-18
normVH,0.0,0.0,2.5450362611776936e-17
VI,0.0,0.0,3.1446300544720514e-06
normVI,0.0,0.0,3.1172980638356603e-06
VK,0.0,0.0,0.00016086998713453303
normVK,0.0,0.0,0.00012575327198757156
VL,0.0,0.0,0.024165283308613665
normVL,0.0,0.0,0.022131339903874687
VM,0.0,0.0,5.953634492863489e-10
normVM,0.0,0.0,7.328626043901103e-10
VN,0.0,0.0,8.842290482320759e-05
normVN,0.0,0.0,7.781105923388268e-05
VP,0.0,0.0,2.3422255478880693e-08
normVP,0.0,0.0,2.4316484356169032e-08
VQ,0.0,0.0,1.3159009897363978e-08
normVQ,0.0,0.0,1.382249169208754e-08
VR,0.0,0.0,1.0677599703853961e-12
